Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
MLPR_Relu-camadas (1) e neurônios (50)_;0.0008970143979286983;0.0003586161828293652;0.014766800787755146;0.003423700598506159;-0.1386337807156565;0.1009579145337414;3.724082517623901;0.6968407506743631
MLPR_Logistic-camadas (1) e neurônios(50)_;0.0008078644483713058;0.0003322909566016016;0.012162369896274432;0.0016249957060203058;-0.020966747509648963;0.017351532506066594;10.676274394989013;2.1000103416231997
MLPR_TanHip-camadas (1) e neurônios(50)_;0.0009627560689854291;0.00040578201368367744;0.01609782748758646;0.005026541397399837;-0.24587324355294776;0.32359468914162626;10.34052288532257;0.6787108355084388
MLPR_Relu-camadas(3) e neurônios (50)_;0.000810798707735115;0.0003271313039686912;0.011652268099030113;0.0008927967205230943;-0.028644229568254055;0.02446810327534501;13.806680369377137;0.5428052539393206
MLPR_Logistic-camadas (3) e neurônios(50)_;0.0008075686268201765;0.00032517620010322933;0.012353367600197469;0.0025799880979683583;-0.02366445035683893;0.052834171142033;15.364484643936157;0.22587175623809105
MLPR_TanHip-camadas (3) e neurônios(50)_;0.0008139935069532355;0.0003246837092666988;0.012155361875881695;0.0017246821170145844;-0.035936150042858196;0.04051219990672944;16.779095363616943;0.5889035665580248
MLPR_Relu-camadas(6) e neurônios (50)_;0.0008050352523351877;0.0003293589099770741;0.011688609511678317;0.0017272444739252;-0.01900336564612315;0.023205358790988107;20.18594560623169;0.7243897811198992
MLPR_Logistic-camadas (6) e neurônios(50)_;0.0008138584611120069;0.0003225418621125709;0.011966036484801514;0.0018260281074481343;-0.03726058140226698;0.07588653415571585;25.578708672523497;2.754577546267459
MLPR_TanHip-camadas (6) e neurônios(50)_;0.0008150204597929166;0.0003480425760607862;0.012294831452951899;0.0020100784605299126;-0.023230270567292412;0.032804702878046384;32.00391237735748;3.373722644011085
MLPR_Relu-camadas (1) e neurônios (100)_;0.0008882322784439475;0.0003301006826738302;0.013221525354850855;0.00025223367736284906;-0.14161019194037036;0.06514678976805711;16.617075300216676;0.7341350449896087
MLPR_Logistic-camadas (1) e neurônios(100)_;0.0008317351538744173;0.0003614655235894316;0.013267483674793351;0.0036425797660756044;-0.04142889198368986;0.06621067771045272;14.429870247840881;0.8255675362526765
MLPR_TanHip-camadas (1) e neurônios(100)_;0.0009545714859670816;0.00039358548440718955;0.015520690462756549;0.005417772625621267;-0.21674175422841202;0.20025012909482487;17.211936354637146;1.4579503940140985
MLPR_Relu-camadas(3) e neurônios (100)_;0.0008524338696007215;0.00034202873079874565;0.012936276632774035;0.0020098541147711138;-0.08120811239178112;0.05476809777180195;22.8696692943573;1.3577301418716712
MLPR_Logistic-camadas (3) e neurônios(100)_;0.0008109686542972282;0.0003431122776292074;0.011167732934591088;0.002292869600974555;-0.019860752143396422;0.017803385435318102;30.110448122024536;1.8741311961589133
MLPR_TanHip-camadas (3) e neurônios(100)_;0.0008230227782384015;0.00033452977804940704;0.011817829419023766;0.0014649495524470884;-0.03968327546039367;0.0350584723261015;33.21154644489288;1.4456187764702233
MLPR_Relu-camadas(6) e neurônios (100)_;0.0008108945749705655;0.00032463426760843294;0.011135115166879334;0.0014359686030762863;-0.028200607099064346;0.04221821684559493;43.14948670864105;1.703040262993881
MLPR_Logistic-camadas (6) e neurônios(100)_;0.0008391595555151349;0.0003302483930290771;0.012838701846416136;0.0038805758552428902;-0.06767058648816304;0.06741430889872962;50.41686036586761;1.5416703779031447
MLPR_TanHip-camadas (6) e neurônios(100)_;0.0008428081772413936;0.0003140560298316552;0.013050247734268605;0.003769895191456648;-0.09354320099683636;0.16696015326005967;56.20473988056183;2.842471179106724
MLPR_Relu-camadas (1) e neurônios (150)_;0.0008906823706836372;0.0003296202651494513;0.01398709275560854;0.0009365504580620134;-0.1438950002552372;0.06452157134858136;22.098602509498598;1.7549260266302735
MLPR_Logistic-camadas (1) e neurônios(150)_;0.0008319056904555472;0.0003289105726936424;0.012279821380929694;0.0017588646969045176;-0.059367696566413206;0.05348315813220885;23.211395359039308;0.24539696835819907
MLPR_TanHip-camadas (1) e neurônios(150)_;0.0009421966574488189;0.0003019121828947905;0.016233473841351882;0.0036306953508323195;-0.249632528405404;0.2469053977202531;25.274494886398315;0.5877227064344112
MLPR_Relu-camadas(3) e neurônios (150)_;0.0008954802857758529;0.00031558844472778785;0.013642797257747172;0.0022229615200699327;-0.1649477807451432;0.18929614094026986;37.04320781230926;1.9063128787114636
MLPR_Logistic-camadas (3) e neurônios(150)_;0.0008779035004233629;0.0003257904514436675;0.01299341628273568;0.003982547329490094;-0.12991649195093932;0.1400183341406876;41.699257826805116;2.2176120263140304
MLPR_TanHip-camadas (3) e neurônios(150)_;0.000823290065233968;0.0003155904425471788;0.01214438955744049;0.0022286949890430526;-0.054309555640467556;0.071244030400164;50.00188875198364;4.601264632450642
MLPR_Relu-camadas(6) e neurônios (150)_;0.0008378079978488056;0.00035946347022622983;0.013787275849662311;0.0036421633731509796;-0.053764873461806716;0.03441047111953317;58.88374807834625;2.560787458836959
MLPR_Logistic-camadas (6) e neurônios(150)_;0.0009098059259502568;0.00034217018327953406;0.012486813440123852;0.005018788996932926;-0.1684102951584947;0.169571024941576;69.97962913513183;4.588351392057895
MLPR_TanHip-camadas (6) e neurônios(150)_;0.0008051070833544462;0.0003244989571426134;0.01068584853105722;0.0007869315379608655;-0.02231116154538937;0.04376028536630695;84.17342438697816;6.65459832732398
