Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
SVR_kernel linear scale_;0.005324719837101923;0.00017230661687996782;0.0682663590507904;0.0013356038388568586;-6.800344481613517;2.813975234114688;9.342633986473084;0.7438697869256277
SVR_kernel linear auto_;0.005324719837101923;0.00017230661687996782;0.0682663590507904;0.0013356038388568586;-6.800344481613517;2.813975234114688;8.852733182907105;0.8312894638647977
SVR_kernel rbf scale_;0.0048052638434773216;0.00030716976080503197;0.06357671703205417;0.001611123197770646;-5.9768874345734035;2.4050037184574746;13.498487496376038;0.8086016734008096
SVR_kernel rbf auto_;0.009071709558484572;0.00026665092766231275;0.0926987173705219;0.0002878475424134961;-12.250743465702227;4.6487650432487095;2.3084909915924072;0.28459895779224936
SVR_kernel sigmoid auto_;0.00909276573405128;0.0002705313499240777;0.09281146510104721;0.00031110210869899176;-12.280226724717274;4.656782652834566;1.8579901933670044;0.1937828587224377
SVR_kernel sigmoid scale_;154.5508479435045;6.347526404036961;8.979294266286319;0.20047812594815131;-226142.9004420854;80715.18903112013;325.72077136039735;5.137300636262608
SVR_kernel poly g2 auto_;0.009158630825844909;0.00026938114537794033;0.0931657115610362;0.0003087475927490723;-12.377692201103542;4.692783834301701;1.5661728858947754;0.25112687028877273
SVR_kernel poly g2 scale_;0.0041445842609433665;0.000289763022698111;0.057057644574345576;0.0021174774741464448;-5.017192785320789;2.064256091279834;11.0362300157547;0.868418628601167
SVR_kernel poly g3 auto_;0.009162570839239556;0.00026750892020027174;0.09318683768688274;0.0002961828378027753;-12.384401800147664;4.6976643506743585;1.5620759963989257;0.21624608001114984
SVR_kernel poly g3 scale_;0.004225786178928857;0.00033880947185147193;0.05779552439616505;0.001969012507278904;-5.1077934008403485;2.044973291078775;11.356223630905152;1.0839127100873593
SVR_kernel poly g4 auto_;0.009164417207621038;0.0002693120918329939;0.09319678123021893;0.00030518731208584225;-12.38603252001256;4.6959076883272;1.4555994033813477;0.35719015304227997
SVR_kernel poly g4 scale_;0.005046880872867072;0.0003995348127475935;0.06506392530706492;0.0019958116953991884;-6.290560919220516;2.4252082671652238;12.19872829914093;1.0669568226184891
SVR_kernel poly g5 scale_;0.006014465840040256;0.00041155306141122874;0.07259343006009113;0.0018023294903672083;-7.705563186449335;2.9122847643304683;13.77034797668457;1.3840941185037208
SVR_kernel poly g5 auto_;0.009164417208344395;0.00026931209178978266;0.0931967812340609;0.00030518731181175204;-12.386032521093751;4.6959076887470435;1.4538416624069215;0.2687669155470205
SVR_kernel poly g6 auto_;0.009164417208345979;0.00026931209178977783;0.09319678123406935;0.0003051873118117137;-12.38603252109609;4.695907688747915;1.4834655046463012;0.0987265276991051
