Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
KNR_1_;0.00033218163994007567;0.00014894844174685086;0.012127170075768454;0.0028318422319210637;-0.43062746321659473;0.21882243873900403;4100.978596544266;18.229747223698087
KNR_2_;0.00025673980640812807;0.00014426996154281036;0.007130545585784319;0.0011964635089314489;-0.050780979414403;0.022468766685093865;4103.785177636147;19.23900454163554
KNR_3_;0.00024883495746390154;0.00014447603143315782;0.0055966115803871095;0.0006970265353434365;-0.00997321257187298;0.018819763917072296;4103.558197617531;19.193496479587395
KNR_4_;0.0002606863932079426;0.00014592381361198213;0.005084984789131127;0.00016906746049534472;-0.06787099997483789;0.027016900248862268;4106.385120153427;18.810599834740053
KNR_5_;0.0002582290342934808;0.00014568228107737235;0.005018417652842019;0.00016422172465478592;-0.05573300380500916;0.02264948237158137;4347.87226691246;244.04234993019233
KNR_6_;0.0002564928149747689;0.0001454198758339822;0.0049698997117821305;0.00014215200939069755;-0.047366550698781304;0.020254363157378573;4568.883121681213;13.56318296425289
KNR_7_;0.00025526200408322196;0.00014542207140527487;0.00492965354224397;0.00013660862575533113;-0.04092081391026716;0.016824441571951943;4349.751140427589;184.88635164482287
KNR_8_;0.0002544225649944072;0.00014526761089949403;0.004907403282092321;0.0001373695338305274;-0.03697301146174061;0.015598980048973058;4558.881681108474;122.1275135787086
KNR_9_;0.0002534569730782116;0.00014445234983114373;0.004880010251742071;0.0001263978130951586;-0.03317422899528464;0.015577395234172819;4069.1087062835695;11.384143919029519
KNR_10_;0.0002527482948492366;0.00014438991928240058;0.004855523437607085;0.00012169619564359172;-0.029629937030720012;0.013963549460179737;4056.2937272787094;9.702761976758083
KNR_11_;0.0002522876345439172;0.00014471632729267468;0.004831360060568434;0.00012054140437878891;-0.026565591468645944;0.012151878191769157;4053.692472887039;7.64957030213591
KNR_12_;0.0002518918041307565;0.00014491602480993558;0.004814364743206731;0.00012145361606458546;-0.02427754905968551;0.010915456978910129;4055.625614142418;9.568373241140774
KNR_13_;0.00025169855190957014;0.0001450584196351054;0.004801860587271482;0.00012327186105719006;-0.02299205653711185;0.009833228621539491;4056.2443120956423;9.153049139301109
KNR_14_;0.00025141837537878903;0.0001450983546670607;0.004796941032948626;0.00011922685664126395;-0.021512190010529307;0.008795445229212431;4045.7352113246916;13.971740890218621
KNR_15_;0.00025119679082647367;0.00014525315889468964;0.004787732538003518;0.00011807832605485991;-0.020128330023616116;0.007633435668182318;4039.8397483348845;8.686507663142217
KNR_16_;0.00025093782611389015;0.00014530595700336046;0.004779090615690463;0.00012062517034084246;-0.018682196291745168;0.006923686471153386;4038.225807404518;9.011050677001489
KNR_17_;0.0002506660285463406;0.00014523939503881207;0.004766963586815214;0.00012180425521758104;-0.01749319848447246;0.006494959945677985;4038.8664988994597;8.597300592576532
KNR_18_;0.00025059677592029537;0.00014523431826100763;0.004761890490523394;0.00012283159255543493;-0.017151041705936045;0.006327409119433438;4039.6062541007996;9.03951803114941
KNR_19_;0.0002505915882995008;0.00014527740842785257;0.0047558014115062965;0.00011986973518562196;-0.016985430240971145;0.006235368027307282;4034.597756791115;9.02440596720896
KNR_20_;0.0002504982848422531;0.0001453464445401168;0.004749628940196128;0.0001214456329565019;-0.016381633177230848;0.006074668771301829;4035.160535287857;8.283424979990592
KNR_21_;0.0002504341204168104;0.00014544288375096086;0.0047455103797829955;0.00012035621000598484;-0.015887944561287524;0.006008921957488126;4037.3954030275345;9.241810255224285
KNR_22_;0.0002504815867303065;0.00014549120024188138;0.004740829722451883;0.0001221150441922818;-0.016044348832036183;0.006075030879872992;4040.993303608894;7.221938249711552
KNR_23_;0.000250305099333871;0.00014530758830131712;0.004734390375481808;0.000120787826867169;-0.015445158038161022;0.0062797378021799445;4031.1876627922056;10.414885821048362
KNR_24_;0.00025025859066561413;0.00014540372587843007;0.004725411698277043;0.00012023460926346196;-0.015043646952617751;0.006102923440177225;4036.5791368484497;10.936484493941931
KNR_25_;0.00025024041757437134;0.00014545599838689086;0.004720630752302499;0.00012236999991622243;-0.01484461327496962;0.0059794049996429195;4036.163039326668;9.744429491500492
KNR_26_;0.0002501762957549582;0.00014550354662083736;0.004715904632540644;0.00012293472630023816;-0.014468217640349357;0.005783279462392863;4040.8442517757417;10.394407303402556
KNR_27_;0.0002502188928696544;0.00014551297704733267;0.0047106130308790985;0.00012291476539081568;-0.014676880641734535;0.005653979208083689;4024.3691198348997;16.65169164041508
KNR_28_;0.0002500833931605924;0.00014549624294997397;0.004709162338756275;0.00012214732501394254;-0.014061234719096682;0.005632369120085652;4025.0359304666517;10.235338995216749
KNR_29_;0.00025003673733381686;0.00014553652075505224;0.004703188219228273;0.0001227457521767802;-0.013722660598444602;0.0053866909566762594;4028.4965855836867;13.31375410718447
KNR_30_;0.0002500287388162483;0.00014553249504008743;0.004703032499635563;0.00012760526242012343;-0.013689759023912295;0.005506800916276314;4029.117205238342;14.974219046436195
