Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
MLPR_Relu-camadas (1) e neurônios (50)_;0.0003304944974505849;0.00015068470472937655;0.008769081085189132;0.000713976882355864;-0.4248594360971589;0.1961238501911369;141.673437666893;13.219024486723852
MLPR_Logistic-camadas (1) e neurônios(50)_;0.00027650103897335174;0.00014144079900864096;0.00694206324951306;0.00033067504425353877;-0.15675261639262672;0.07277938717512522;111.92738423347473;7.496307131707418
MLPR_TanHip-camadas (1) e neurônios(50)_;0.0003617448265159084;0.00013411659000230994;0.00954302686034792;0.0009973793147754597;-0.6115950147517871;0.3267393175333865;119.65918097496032;8.140814356551138
MLPR_Relu-camadas(3) e neurônios (50)_;0.00030721258079397494;0.00013537590936299956;0.006712661674967921;0.0004200732614948646;-0.32440628989337317;0.16503456998959565;112.60091831684113;6.448321980132555
MLPR_Logistic-camadas (3) e neurônios(50)_;0.00024919690162147564;0.0001441024663873147;0.005238485370485717;0.0012207261697234281;-0.011771658732209967;0.03036921980155683;127.36894209384918;11.612600685853101
MLPR_TanHip-camadas (3) e neurônios(50)_;0.0003070902804182212;0.0001433292330999662;0.008206669827828937;0.0010707289291511084;-0.3112834919372041;0.15062469007363824;131.01519150733947;7.937376275388983
MLPR_Relu-camadas(6) e neurônios (50)_;0.00029602058508705853;0.00013868820764295162;0.006242926759060739;0.0004991036451107758;-0.2595611005222797;0.11814148331431198;126.41787934303284;10.306885527732232
MLPR_Logistic-camadas (6) e neurônios(50)_;0.0002512212339726569;0.00014555241389469818;0.005238967316180463;0.0010770749036992937;-0.018480821154609937;0.027976795965801514;146.95721905231477;8.139300351824572
MLPR_TanHip-camadas (6) e neurônios(50)_;0.0003151821060495037;0.00013541861472062374;0.00904487262031375;0.0009496812762045372;-0.36586405235634156;0.19897878964284788;159.02534115314484;18.37777176908373
MLPR_Relu-camadas (1) e neurônios (100)_;0.00033171146518127257;0.00014072472159771065;0.009136792269817402;0.0005629196625579562;-0.4482307894857285;0.22485418549621786;170.78172681331634;49.64645741825503
MLPR_Logistic-camadas (1) e neurônios(100)_;0.00028541127026327103;0.0001488268976522403;0.007470377784220601;0.0004002341682926765;-0.19007602726153383;0.0710009459727911;128.11158905029296;5.162665751276656
MLPR_TanHip-camadas (1) e neurônios(100)_;0.0003384649035431511;0.00014215840540744983;0.00884753048004502;0.0006886004315094316;-0.4789069003356718;0.25453642389917597;144.1945774078369;6.180892700821144
MLPR_Relu-camadas(3) e neurônios (100)_;0.00028421775206812215;0.00013977310984360247;0.00623318443339913;0.0005836465823995267;-0.19891020186043645;0.12961136536399825;130.90368592739105;5.003681773030783
MLPR_Logistic-camadas (3) e neurônios(100)_;0.00025420396647167395;0.00014208008551206685;0.0054657808152406995;0.001959335237337058;-0.043627001516733585;0.09957044485865882;135.29877169132232;3.487857761843861
MLPR_TanHip-camadas (3) e neurônios(100)_;0.00031776491033717544;0.00013480559889021923;0.008962662127868153;0.001453366910564836;-0.38653074702812407;0.24432289995604337;135.0384170293808;2.676007226528648
MLPR_Relu-camadas(6) e neurônios (100)_;0.0002813967403111224;0.0001297669494267918;0.005925887387275229;0.0004099435322387141;-0.202672402268485;0.13038632165827882;140.75292217731476;3.294565268350933
MLPR_Logistic-camadas (6) e neurônios(100)_;0.0002600992605182138;0.000144428238782962;0.00615869393236802;0.0020638865082093596;-0.0626420512317305;0.08381018572460973;147.19924912452697;4.380184408874164
MLPR_TanHip-camadas (6) e neurônios(100)_;0.0002950717249100163;0.00014596382522286605;0.00750317189591856;0.0005275573671494781;-0.24679818448784738;0.12959602977090431;142.41490104198456;7.653986687675722
MLPR_Relu-camadas (1) e neurônios (150)_;0.00031996892637722396;0.00014241142048490335;0.008482982835214488;0.0006801896828090685;-0.3871172486976425;0.22973336484716417;146.5399533033371;4.689608120023029
MLPR_Logistic-camadas (1) e neurônios(150)_;0.0003001202817363436;0.0001495810858167453;0.008098008422895694;0.0009758824297369213;-0.26513102204439054;0.12336830711188287;148.49755222797393;1.8348666480789106
MLPR_TanHip-camadas (1) e neurônios(150)_;0.0003261124156239428;0.00014343451618121228;0.0085877461337448;0.00043405129814761263;-0.41419904659631585;0.2236199932939193;165.160866189003;7.111206064496124
MLPR_Relu-camadas(3) e neurônios (150)_;0.0002802811025634166;0.0001430040889807646;0.006054533515855906;0.0003644756505023092;-0.17553246022784613;0.10336309220695382;152.63851537704468;3.9112772198583463
MLPR_Logistic-camadas (3) e neurônios(150)_;0.00030656470371691205;0.00017836819545727952;0.008791781391922392;0.005072076205364769;-0.26775646598211034;0.43243537850436947;158.9220508337021;2.050235009890796
MLPR_TanHip-camadas (3) e neurônios(150)_;0.0003297385845273468;0.00014380848519416378;0.009446499297015708;0.0026680511514502073;-0.43947262444940555;0.38511691816077825;155.6804447889328;3.304978500275718
MLPR_Relu-camadas(6) e neurônios (150)_;0.00027490785823743773;0.00014298428178610354;0.005915234843214283;0.000716168102402794;-0.14446527352861507;0.07270921290554355;163.56849262714385;2.5621524097634305
MLPR_Logistic-camadas (6) e neurônios(150)_;0.0002744048205801433;0.0001381054534267917;0.007258634523769328;0.0027870049658864217;-0.1657206064015588;0.2721624266951315;169.57024080753325;2.4247039569016113
MLPR_TanHip-camadas (6) e neurônios(150)_;0.00029446793920065916;0.00014406501722814976;0.007707676910656061;0.0010207520131891288;-0.2560651838531299;0.18433709676995266;221.80738492012023;95.87618545619472
