Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
SVR_kernel linear scale_;0.001472420410953351;0.0002989110070675075;0.029785127522533032;0.003565543450753375;-6.102731170906292;2.2309228633160516;141.23121716976166;18.30880763844323
SVR_kernel linear auto_;0.001472420410953351;0.0002989110070675075;0.029785127522533032;0.003565543450753375;-6.102731170906292;2.2309228633160516;135.8183680295944;17.911316242171246
SVR_kernel rbf scale_;0.005938326569148049;0.0004697266283326991;0.07573455366531012;0.002570377437578202;-28.81289511827067;10.635162250243575;223.78480997085572;29.13733515235473
SVR_kernel rbf auto_;0.009497262573335071;0.00011373848386246987;0.09665334686722046;0.0001314679965958143;-47.22039716380294;17.546877896224565;17.152909326553345;1.9962602666046505
SVR_kernel sigmoid auto_;0.009496531198180112;0.00011360953541465153;0.09664953152821344;0.00013083167686623394;-47.216352127134485;17.544481121814616;15.79217550754547;1.2974785302607057
SVR_kernel sigmoid scale_;10.245833807246612;3.774995451119389;0.8228880706862745;0.27417993239373506;-52233.93449793737;31328.944059165744;18926.272748827934;6443.471622019939
SVR_kernel poly g2 auto_;0.00949361727207874;0.00011431097639011955;0.09663446609238968;0.00013707525508585387;-47.198472115893104;17.53173763618296;12.516961240768433;1.0765859766861001
SVR_kernel poly g2 scale_;0.007540569739335259;0.0004513666585635148;0.08587187815111187;0.002167748435555563;-37.03266713079731;13.716355115616398;161.45257670879363;24.6733125029022
SVR_kernel poly g3 auto_;0.009496380764050114;0.000113439715355559;0.09664870979031814;0.0001355595524944426;-47.21378428336904;17.53874875463638;13.045880556106567;1.183533831344367
SVR_kernel poly g3 scale_;0.009349987290895704;0.00012253687120472936;0.09589034852940359;0.00017265419769670732;-46.457048896018335;17.250196092499635;285.2057426452637;54.459730156567055
SVR_kernel poly g4 auto_;0.009493618539840607;0.00011372206597840233;0.09663446589158935;0.00013368428053162643;-47.199715766179935;17.533947301857992;12.368627238273621;1.2852395255980815
SVR_kernel poly g4 scale_;0.009384292888473677;0.00011257504265830821;0.09607017174569775;0.00014661282248375082;-46.64845439700682;17.341764977030582;58.53224940299988;11.392471534868461
SVR_kernel poly g5 scale_;0.00940058499640645;0.00012612709005997908;0.09615477105525314;0.00020161691166162952;-46.70928243719919;17.335812011660785;20.44210810661316;3.1494570350160283
SVR_kernel poly g5 auto_;0.009493618438416868;0.00011369055602819861;0.09663446589158935;0.00013289465256866912;-47.19978971628238;17.534263333607505;12.706459712982177;1.171632678171084
SVR_kernel poly g6 auto_;0.009493762964711905;0.00011424086726392682;0.09663521624668422;0.00013694490735558572;-47.19937825700957;17.53228082667013;12.743681645393371;1.2819098817116434
