Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
MLPR_Relu-camadas (1) e neurônios (50)_;0.0002698476846061344;0.00014462471720773942;0.007324801738678099;0.0004969631381918105;-0.12007781479095028;0.0708118197419398;5.40065975189209;0.8846027007445555
MLPR_Logistic-camadas (1) e neurônios(50)_;0.0002449604873455866;0.00014475681548855107;0.005407149400792021;0.0003278108604381975;0.011424066738945948;0.019017544012323816;5.446868801116944;0.726073145801265
MLPR_TanHip-camadas (1) e neurônios(50)_;0.00026730818455616637;0.00014313439258030602;0.0070981061300410455;0.000606408311677178;-0.10495688670083818;0.06994178874471221;6.870056986808777;1.4090668516113565
MLPR_Relu-camadas(3) e neurônios (50)_;0.0002500918876113471;0.00014045860467355942;0.005662512722894215;0.00034853013026043227;-0.02328038846507994;0.059932077209290446;10.39577395915985;1.4458029966040296
MLPR_Logistic-camadas (3) e neurônios(50)_;0.0002539417100238668;0.0001433936563842219;0.00515809879035483;0.0013837560724472469;-0.040440871969940104;0.09867115042187852;10.629791927337646;1.0297549149167518
MLPR_TanHip-camadas (3) e neurônios(50)_;0.0002497009044271878;0.00014731629356958388;0.005828475739950401;0.0006892752608284443;-0.007691753653569011;0.0158922806979661;11.668781423568726;0.5909361064911854
MLPR_Relu-camadas(6) e neurônios (50)_;0.0002567332823092723;0.00013873291966723757;0.006638670373257138;0.0016629824192987393;-0.06322855948208646;0.10960428655876119;15.499170851707458;1.1058518194158662
MLPR_Logistic-camadas (6) e neurônios(50)_;0.00025104741109864635;0.00014512980541305455;0.005101873397837038;0.0010516871806871284;-0.0199359161984785;0.02014478881048506;16.563263463974;1.3212800158656546
MLPR_TanHip-camadas (6) e neurônios(50)_;0.00024732457595718894;0.00014275255921118255;0.005652065608861888;0.0007504670161276819;-0.0067366066618545165;0.051933516805686475;34.05336833000183;18.048768056325194
MLPR_Relu-camadas (1) e neurônios (100)_;0.00028356594271406675;0.000142690666517194;0.007965096582015177;0.00044973622640740065;-0.19137491686505376;0.08443217860301269;25.98067362308502;5.004408735484988
MLPR_Logistic-camadas (1) e neurônios(100)_;0.00024790858739988364;0.0001431638728362558;0.005715906010375313;0.0004509171369543441;-0.00689200499710243;0.022421024202276436;28.415279340744018;4.491983643776513
MLPR_TanHip-camadas (1) e neurônios(100)_;0.00027840676389008495;0.00013778642058364068;0.007696795905738364;0.0010414345125769283;-0.17461562949978596;0.13376051021303606;27.461723685264587;5.374913737439917
MLPR_Relu-camadas(3) e neurônios (100)_;0.000261202401806832;0.00013707631929983996;0.006453189597764512;0.0010470856481706403;-0.09208174432424204;0.12134325656685846;46.95699744224548;7.459292368836925
MLPR_Logistic-camadas (3) e neurônios(100)_;0.0002505825137675881;0.00014642328251967648;0.005619576616781839;0.0010101489255155895;-0.013927987241063478;0.034255571943169444;57.809323000907895;14.922190179388515
MLPR_TanHip-camadas (3) e neurônios(100)_;0.00025400286182591063;0.00014163968641349445;0.006607994154733345;0.0010327193071131154;-0.04333136892053444;0.06519880387420668;59.18198473453522;11.253751993207631
MLPR_Relu-camadas(6) e neurônios (100)_;0.0002511108948849282;0.00014679070080852088;0.006173578726296646;0.0014861063891203465;-0.015613317260803783;0.04299610497668075;85.93112065792084;23.853597701272875
MLPR_Logistic-camadas (6) e neurônios(100)_;0.0002665808983187045;0.00013920660638701692;0.006843745332384717;0.002475075804705566;-0.11767738230623233;0.1818305374121735;126.38806536197663;23.331104366634648
MLPR_TanHip-camadas (6) e neurônios(100)_;0.0002555924242543205;0.00013888768625638337;0.0067203992119727555;0.0019933225686155865;-0.058060998975320854;0.10656474880485653;114.79691307544708;18.464445286184606
MLPR_Relu-camadas (1) e neurônios (150)_;0.0002868025484918285;0.00013775239239823467;0.008191088770626905;0.00039856710566008426;-0.21620850628119914;0.10580564114068086;37.10883986949921;10.780994279253077
MLPR_Logistic-camadas (1) e neurônios(150)_;0.00025132653991978245;0.00013928566637915163;0.006444954265866498;0.0011726348947878194;-0.034654318124048046;0.07062970917888212;37.86897490024567;8.945203217146323
MLPR_TanHip-camadas (1) e neurônios(150)_;0.00029200549829639;0.0001431706943274836;0.00862353579414612;0.0006604452048177638;-0.2340034860493631;0.10984072859417218;39.57948129177093;3.743749632609658
MLPR_Relu-camadas(3) e neurônios (150)_;0.00027066781364297276;0.00013542375736112926;0.006536640691903126;0.0010712336892275554;-0.1395548958553424;0.13708597869588535;55.10939249992371;13.605534238050765
MLPR_Logistic-camadas (3) e neurônios(150)_;0.0002470380855621753;0.00014392815747227308;0.004539938244409613;0.0008007434936329014;-0.0018178811784790305;0.015907220769284802;66.69636821746826;19.630079307222132
MLPR_TanHip-camadas (3) e neurônios(150)_;0.0002514084311725897;0.00014165376166004408;0.006372320554932763;0.0010181908432327468;-0.027154793681309984;0.04715142000455741;85.53532509803772;19.13175080447805
MLPR_Relu-camadas(6) e neurônios (150)_;0.00026304438649284417;0.00014719044692439656;0.006130381617656727;0.0011697735861031019;-0.07043976620277277;0.1536761432615265;93.38372642993927;14.043357804650498
MLPR_Logistic-camadas (6) e neurônios(150)_;0.00025622609033316014;0.00015630035103385138;0.005583023629448327;0.0018904125435617507;-0.026990204747872393;0.024251660234227368;111.98826122283936;25.899376358307347
MLPR_TanHip-camadas (6) e neurônios(150)_;0.0002464521365832993;0.00014326173532262882;0.005822321112182331;0.0011950236041827565;0.0014501314089041205;0.02517723726637991;122.6217226266861;16.245818454082745
