Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
MLPR_Relu-camadas (1) e neurônios (50)_;0.0026964168636994463;0.0007518691194063232;0.03090951689273123;0.0032577554313037767;-0.6943618171236233;0.3061768892367929;27.57602400779724;3.0843202536112564
MLPR_Logistic-camadas (1) e neurônios(50)_;0.001971425101660927;0.000639548338556642;0.022037056180649207;0.001072591555226001;-0.21052899551475526;0.11849342914841757;24.626654982566833;0.9003177343095374
MLPR_TanHip-camadas (1) e neurônios(50)_;0.003772977606918107;0.0006139703708620273;0.04016321661748641;0.001561285556777925;-1.4677834772499645;0.6460640562904288;25.918052124977113;1.8648824289027672
MLPR_Relu-camadas(3) e neurônios (50)_;0.0023400557330441967;0.0006741950120949631;0.024844642943486005;0.002414466099232591;-0.4563531179534704;0.1975561562487289;25.778806495666505;3.125905578646897
MLPR_Logistic-camadas (3) e neurônios(50)_;0.0016828712350712934;0.0006755351331842919;0.015617582511327718;0.0010899306314497807;-0.0013153431726765751;0.004388941509117156;24.2498339176178;0.9164122757618152
MLPR_TanHip-camadas (3) e neurônios(50)_;0.0032717605582255212;0.0005687858801307189;0.03562409386855318;0.0025887002363494073;-1.1474888214349948;0.5940936547795306;26.729255700111388;0.6418871409583544
MLPR_Relu-camadas(6) e neurônios (50)_;0.0021397264627972417;0.0006833462520800174;0.019471080200037592;0.0015738366631995024;-0.3219291004835278;0.21826944550179778;31.798925852775575;2.6924532354801265
MLPR_Logistic-camadas (6) e neurônios(50)_;0.001701992877046539;0.0006676445074946749;0.017024777631684807;0.00219295536061534;-0.01679728687665314;0.029269128771324836;22.645380330085754;1.1843434040402419
MLPR_TanHip-camadas (6) e neurônios(50)_;0.0032756526972675948;0.0006499477749060584;0.03593265091934879;0.0016181152480061894;-1.1110480010506283;0.46471121785787256;24.47354164123535;0.9003246020152361
MLPR_Relu-camadas (1) e neurônios (100)_;0.0025834558310929854;0.0006980101191073929;0.02943830022792281;0.0034323817254167982;-0.6284755936440652;0.3059770626525191;29.806255221366882;1.62727435942541
MLPR_Logistic-camadas (1) e neurônios(100)_;0.002106367936317471;0.0006763415488740367;0.02410629997392528;0.0026914954344441724;-0.2983081561931383;0.1661760780522429;27.320018815994263;1.7557177984749046
MLPR_TanHip-camadas (1) e neurônios(100)_;0.003931213513691209;0.0006563484919475336;0.040440029783213725;0.0017616801967146169;-1.5545143768094678;0.5829771940317778;28.917119765281676;2.7884267048575366
MLPR_Relu-camadas(3) e neurônios (100)_;0.0021253570356814006;0.0006184716351183116;0.02059902929020612;0.0013748487634838598;-0.3269785263946;0.2072854828040057;38.79814054965973;2.6019412374973157
MLPR_Logistic-camadas (3) e neurônios(100)_;0.0017019031051636196;0.0006643429612662161;0.01653880175392738;0.0025500844899574637;-0.018215759847958802;0.0273886002078067;30.205922651290894;0.8023970045050246
MLPR_TanHip-camadas (3) e neurônios(100)_;0.0034318176900507633;0.0006422774802702552;0.037052797221713944;0.0014589778278792944;-1.2184300740322935;0.49180265249094984;31.723827266693114;1.0488399688783376
MLPR_Relu-camadas(6) e neurônios (100)_;0.002011185785499129;0.0006534576213836354;0.018534451292165487;0.0012066441488794125;-0.23800088405034997;0.13862194981271472;40.75679659843445;2.1236649115514967
MLPR_Logistic-camadas (6) e neurônios(100)_;0.0017588631212709436;0.0006528269861369183;0.018335128701098387;0.0048405206335545075;-0.06680613397082191;0.14242861198883758;32.804174304008484;1.0809814651178233
MLPR_TanHip-camadas (6) e neurônios(100)_;0.003168647463676166;0.0006343815547833186;0.03436711234450106;0.003015679223522431;-1.0642242519852836;0.5652670243088245;35.635783433914185;1.201656292731138
MLPR_Relu-camadas (1) e neurônios (150)_;0.002628922271814726;0.0006174775274880646;0.029463048342970827;0.0028561934204090144;-0.6779312546449565;0.35209730732433664;36.91220557689667;0.5170145984302419
MLPR_Logistic-camadas (1) e neurônios(150)_;0.0021329397269066156;0.0006593723131971349;0.024261149253059337;0.0020573524455250545;-0.3222692921798562;0.18143014195637494;34.99760026931763;2.2229675204360224
MLPR_TanHip-camadas (1) e neurônios(150)_;0.0038576393405812654;0.0006789588939088671;0.04014684283342981;0.0016900416673104326;-1.5027641207516944;0.5706336165929976;38.09470236301422;0.9867401060071815
MLPR_Relu-camadas(3) e neurônios (150)_;0.002018145805402966;0.0006420658864470698;0.01926201924212393;0.0009166194183014944;-0.2463538298260466;0.1638291751451326;24.947872829437255;1.2596103684611315
MLPR_Logistic-camadas (3) e neurônios(150)_;0.0016945115048473288;0.0006718077126481423;0.016978203610567993;0.002055285608703827;-0.009720029602619695;0.016459410657462224;20.867768812179566;0.9065609032668255
MLPR_TanHip-camadas (3) e neurônios(150)_;0.0033613823594274067;0.0006133453808051074;0.036265204024329874;0.001909235182897826;-1.1876496712605609;0.5499559495680244;23.09217119216919;0.44008261635795065
MLPR_Relu-camadas(6) e neurônios (150)_;0.001961273764156183;0.0006319683989572975;0.01843358083913296;0.0014792066401613656;-0.20689291036959503;0.1436124825502202;29.790776419639588;1.4162015804692702
MLPR_Logistic-camadas (6) e neurônios(150)_;0.0017447804684568662;0.0007280516913644833;0.0157776566660173;0.0016133113506134388;-0.03143896021833796;0.05048821890064414;25.31005549430847;0.6650244973829984
MLPR_TanHip-camadas (6) e neurônios(150)_;0.003138940730007655;0.0007458190422906632;0.03396986697002079;0.002089851012169626;-1.008153585043311;0.4342929342411957;26.13304271697998;2.6492400085217613
