Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
SVR_kernel linear scale_;0.004175073224997251;0.0006397616554724095;0.046105514184029396;0.0013081770458156217;-1.7219992458807538;0.6314175296359892;10.708798217773438;0.36170699411718177
SVR_kernel linear auto_;0.004175073224997251;0.0006397616554724095;0.046105514184029396;0.0013081770458156217;-1.7219992458807538;0.6314175296359892;10.51762421131134;0.36105723809839746
SVR_kernel rbf scale_;0.007673634171078534;0.000677603078155709;0.08157938776828848;0.001468291670700633;-4.113690307075619;1.4430414805108875;19.00839192867279;0.47113332815718184
SVR_kernel rbf auto_;0.009181395124792036;0.0005790069478793347;0.0914319627752461;0.0005775340250174187;-5.17241223733054;1.8743380408681625;2.3518749237060548;0.04649370444054371
SVR_kernel sigmoid auto_;0.00918467607776041;0.000579624879662065;0.0914494578673777;0.0005822619570107223;-5.1744773796937595;1.8745140302209968;2.2082052707672117;0.040282372981335676
SVR_kernel sigmoid scale_;0.3405760939379609;0.09445971339350033;0.1698118043005768;0.018671196657957738;-240.70027897021563;125.32554973926936;139.0824168920517;2.3808001908743033
SVR_kernel poly g2 auto_;0.009190091548922256;0.0005800673850691822;0.09147878359847327;0.0005841354277677006;-5.178099085623288;1.8756149202678054;2.1385853052139283;0.03845650272351169
SVR_kernel poly g2 scale_;0.008988681929332415;0.000590041226619456;0.09005950837055401;0.000778020544589155;-5.036062401856317;1.8121065751637568;24.95734887123108;0.5146685362361109
SVR_kernel poly g3 auto_;0.009190091797934676;0.000580067410902405;0.09147878495653802;0.0005841355438226697;-5.1780992523285665;1.8756149738084662;2.0624826669692995;0.03964658558349466
SVR_kernel poly g3 scale_;0.00937864639888648;0.0005644502747971548;0.09249118903393497;0.0005483081897783702;-5.311476829202746;1.9317514212597877;26.757109117507934;1.4574152459869036
SVR_kernel poly g4 auto_;0.009190091797947188;0.000580067410903245;0.09147878495660561;0.0005841355438256981;-5.178099252337011;1.8756149738112429;2.0479317188262938;0.0427179410423646
SVR_kernel poly g4 scale_;0.009303339270349573;0.0005700600711458483;0.09208487735341586;0.000675103776574557;-5.260607111853881;1.9200898376988305;20.50716700553894;12.497963812206434
SVR_kernel poly g5 scale_;0.009309227031342146;0.000565176641856091;0.09212117355870707;0.0005994511438933421;-5.2639112792103;1.9154749478430222;19.662734627723694;12.120971815208872
SVR_kernel poly g5 auto_;0.009190091797947188;0.0005800674109032449;0.09147878495660561;0.0005841355438256981;-5.178099252337012;1.875614973811243;2.006665349006653;0.02953220470763107
SVR_kernel poly g6 auto_;0.009190091797947188;0.0005800674109032449;0.09147878495660561;0.0005841355438256981;-5.178099252337012;1.875614973811243;1.9999262809753418;0.030393949696228426
