Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
MLPR_Relu-camadas (1) e neurônios (50)_;0.0018880225954353846;0.0007119067405195185;0.020135648287809282;0.00164357840853324;-0.13790335594324696;0.06853456704356295;3.0408221244812013;1.0951135529329457
MLPR_Logistic-camadas (1) e neurônios(50)_;0.0016982831933952413;0.000662064624262688;0.017288126838014457;0.0012495494779593325;-0.016987346745871545;0.032835230686631106;3.4302424430847167;0.5641833983459148
MLPR_TanHip-camadas (1) e neurônios(50)_;0.0018567463380074639;0.0006693420708649337;0.020345306078398413;0.0016217845239053796;-0.12526627556283643;0.07835938528785835;4.6659071207046505;1.2207120277001935
MLPR_Relu-camadas(3) e neurônios (50)_;0.0017607020826950887;0.0006491891605151415;0.0179849354524175;0.0014623933045016392;-0.06160554344114122;0.050127091518176986;5.191743946075439;0.5194195497798547
MLPR_Logistic-camadas (3) e neurônios(50)_;0.0016833389326550731;0.000669201342178626;0.015475906028753737;0.0020828634859918153;-0.00382369438875807;0.017580843203880155;5.866811442375183;0.7451205009068734
MLPR_TanHip-camadas (3) e neurônios(50)_;0.001741851227004629;0.0006751939355786785;0.018675021007976654;0.002805928439917098;-0.044432950893496824;0.04783734397078182;7.133327221870422;0.5715355003519098
MLPR_Relu-camadas(6) e neurônios (50)_;0.0017425266904968553;0.0006499998019234702;0.017105350885749535;0.0014899552597399566;-0.054975980741197805;0.16323375671062057;9.637354040145874;1.9877358025458947
MLPR_Logistic-camadas (6) e neurônios(50)_;0.0017055916366773504;0.0006946742547847943;0.01565396834186508;0.001778011865628759;-0.012339918131797379;0.016569167526993833;10.004539728164673;0.6779580156549706
MLPR_TanHip-camadas (6) e neurônios(50)_;0.0016957052269918522;0.0006595231604392977;0.017466628001884768;0.0022095925690819836;-0.015054863641553017;0.028660863224700704;11.511695432662965;0.5252600972117442
MLPR_Relu-camadas (1) e neurônios (100)_;0.0019586114364844227;0.0007146073646307834;0.02158298578237312;0.002194474922193575;-0.18248693841437297;0.07676142580847728;5.823208332061768;0.2332547291540255
MLPR_Logistic-camadas (1) e neurônios(100)_;0.0017060181235554483;0.0006697719242745413;0.017823353834593166;0.0025836243505622863;-0.022678449741418562;0.048977317625678266;6.412351036071778;0.5960238461911017
MLPR_TanHip-camadas (1) e neurônios(100)_;0.0018420778982479243;0.0006450717546012081;0.01982958084365432;0.0009893904062896312;-0.11996260165425739;0.0781335354933201;6.461873722076416;0.28617271799201943
MLPR_Relu-camadas(3) e neurônios (100)_;0.0017877446120513891;0.0006590958021255778;0.018789553872521757;0.0018241378040756446;-0.08570625023642144;0.10442347618547868;10.424603056907653;2.7878020649619084
MLPR_Logistic-camadas (3) e neurônios(100)_;0.0017104257290110336;0.0006964414439209264;0.01656495571741885;0.003401277262808663;-0.01565653796222787;0.01771932225751272;9.941951847076416;0.4528106308960338
MLPR_TanHip-camadas (3) e neurônios(100)_;0.001735581911298122;0.0006490759547861789;0.01912504919083515;0.002098575867685866;-0.04330354520579492;0.05096792725117994;11.138475346565247;0.05034680457729342
MLPR_Relu-camadas(6) e neurônios (100)_;0.0018650659821325625;0.0007339921744061393;0.018010869494137306;0.003163573726945329;-0.11365547224990405;0.0906284540420467;20.08372106552124;4.670153063619497
MLPR_Logistic-camadas (6) e neurônios(100)_;0.0017450055583707782;0.0006867774030594096;0.016864439633570084;0.0030037626934294897;-0.041572853544749246;0.037469716651265035;14.045424842834473;0.37667010130754996
MLPR_TanHip-camadas (6) e neurônios(100)_;0.001676743489710936;0.0006640555232401981;0.016440852025785067;0.0012374449155270746;-0.0008887885931614714;0.02045324780057056;15.891368961334228;0.22724543817985782
MLPR_Relu-camadas (1) e neurônios (150)_;0.0019202776499761634;0.0006328716841023392;0.021870424069002286;0.0012027795779849665;-0.17826146145546212;0.114606039253826;5.990141105651856;0.17696958783765693
MLPR_Logistic-camadas (1) e neurônios(150)_;0.001742120868901079;0.0007015104155875268;0.017321798799784446;0.0017336188498891269;-0.04196852699313701;0.06908756596478864;6.244210124015808;0.34564988804751484
MLPR_TanHip-camadas (1) e neurônios(150)_;0.0018620350376883827;0.0006466920042539318;0.020405561821379155;0.0018123635864552839;-0.13500836752896397;0.09774253053152585;6.78538932800293;0.2635307176417296
MLPR_Relu-camadas(3) e neurônios (150)_;0.0019290461150915112;0.0007178276833139402;0.019951158337663692;0.002140301637725303;-0.17213309966387663;0.16791141323534228;10.580254983901977;0.15781376258276117
MLPR_Logistic-camadas (3) e neurônios(150)_;0.0016958709772562325;0.0006818107775183374;0.01720715665169346;0.0020348185572947033;-0.009410353135074111;0.015523049288301907;13.373220920562744;0.7183563637643529
MLPR_TanHip-camadas (3) e neurônios(150)_;0.0017424072972468695;0.0006571631111645643;0.0175651447597334;0.0018288119145610077;-0.047446155337234244;0.048383397259174746;16.043675088882445;0.06147008859590385
MLPR_Relu-camadas(6) e neurônios (150)_;0.0018527930675507453;0.0006506449098322268;0.01650320689416419;0.0015865139245266617;-0.12827394768727535;0.11425141200524816;30.660589981079102;6.888522021629581
MLPR_Logistic-camadas (6) e neurônios(150)_;0.001740325960968758;0.0006823374002340072;0.016800295955734224;0.004588074440944825;-0.03854916768023677;0.046839835459344226;21.438380670547485;1.0696467368106408
MLPR_TanHip-camadas (6) e neurônios(150)_;0.0016721873527368839;0.00066751519408287;0.01662777129858075;0.0013155742908106474;0.002956297480269965;0.019222735518475798;22.969182538986207;2.629202293042658
