Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
SVR_kernel linear scale_;0.005120307723746055;0.0007072315597220942;0.06162416385237398;0.002142529993718204;-2.3536413948690855;0.8100297252734293;1.6180878400802612;0.3693671679762951
SVR_kernel linear auto_;0.005120307723746055;0.0007072315597220942;0.06162416385237398;0.002142529993718204;-2.3536413948690855;0.8100297252734293;1.9795082569122315;0.22492600065977097
SVR_kernel rbf scale_;0.005245410983278858;0.0007121142643951737;0.06175073487848672;0.0022967479371081853;-2.437860817132413;0.8329231820786421;3.004226040840149;0.2102195523624341
SVR_kernel rbf auto_;0.009101344323173468;0.0005819351952527463;0.09099816100071315;0.0005910885790564779;-5.116981054604031;1.85432646364277;0.6874057292938233;0.0618182922550074
SVR_kernel sigmoid auto_;0.009135907991031441;0.0005805816796350866;0.09118479265820206;0.0005912608263975245;-5.140514663699287;1.8608546902465635;0.44362118244171145;0.09079397121486833
SVR_kernel sigmoid scale_;25.885095500218902;2.005157343254474;3.8526953292660027;0.1284686253289091;-17621.221752408295;6143.005768688546;28.214820623397827;0.8012855343234203
SVR_kernel poly g2 auto_;0.009206683376074196;0.0005799612000330198;0.09157080454352082;0.0005843331401371055;-5.189513171993067;1.8796754983315722;0.4133286476135254;0.05285116636867196
SVR_kernel poly g2 scale_;0.004558048411565651;0.0007074721247922117;0.05353459552689671;0.0023410082487089244;-1.969249164921057;0.6826706970841887;2.243058276176453;0.10015505522258253
SVR_kernel poly g3 auto_;0.009206812010593273;0.0005799590735319275;0.09157148577852939;0.0005843074171380218;-5.189604060243967;1.8797184817064463;0.39054388999938966;0.06252137563004967
SVR_kernel poly g3 scale_;0.0058303450847442435;0.0006628582359304976;0.06666980175502522;0.001610042500503892;-2.848137078729134;0.9869907550246445;2.394936990737915;0.09848716655571835
SVR_kernel poly g4 auto_;0.009206812476386168;0.0005799590585132025;0.09157148826370845;0.0005843073994723382;-5.189604384719571;1.8797186096991738;0.38672800064086915;0.0333681044725663
SVR_kernel poly g4 scale_;0.007373504666288386;0.0006165826573343197;0.07894435913970106;0.0011190334896778328;-3.919550319172103;1.394274507856129;2.688973879814148;0.28719506258756355
SVR_kernel poly g5 scale_;0.008473914141320826;0.0006029582525524615;0.0866110241321728;0.0009293020428008228;-4.681762786523207;1.6867317929182042;3.4982667207717895;0.3752654559101095
SVR_kernel poly g5 auto_;0.009206812477080547;0.000579959058477494;0.0915714882674329;0.0005843073993927344;-5.189604385203149;1.8797186098794016;0.3847175121307373;0.014179076967854488
SVR_kernel poly g6 auto_;0.00920681247708151;0.0005799590584774604;0.09157148826743813;0.000584307399392668;-5.189604385203817;1.8797186098796517;0.4096925497055054;0.051330831226028044
