Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
KNR_1_;0.002820051602916697;0.0008188141857401113;0.022801836059760973;0.0008836649913481334;-0.1234422647482456;0.028491980855403613;98.89116015434266;0.26214651597684197
KNR_2_;0.002774855570529031;0.0007745373474365573;0.022892348635444693;0.0009033834605761898;-0.10974063412229192;0.04552815639787282;99.01236646175384;0.3683470055794683
KNR_3_;0.002884206495109937;0.000787431847567878;0.022885460514373367;0.000814486657354683;-0.15472642249427287;0.043972744953493244;98.75883758068085;0.34040816548113484
KNR_4_;0.0029656607184255428;0.0008004818241079385;0.02335691550826695;0.0007786336354159315;-0.18722945162021948;0.03481383211000425;98.87055432796478;0.350600208414198
KNR_5_;0.002940514175975098;0.0007891967229741573;0.023494260190991025;0.0009088031368333799;-0.17738109838646562;0.037151034436158185;98.99753129482269;0.3821541525448654
KNR_6_;0.002856705601658593;0.0007764137900684902;0.02379548899366861;0.0010641365840351978;-0.1430321238620858;0.0396663949313262;98.99133942127227;0.29885115638435095
KNR_7_;0.0028215203294923745;0.0007709977352015651;0.02412405223418463;0.0011592974640537931;-0.12933085294276614;0.04480983297145978;98.95917406082154;0.3456039713025963
KNR_8_;0.0027983389860409833;0.0007509099588626933;0.024491097251139536;0.001012640136060973;-0.121871014602802;0.04902263283299462;99.0269024848938;0.32294441382220834
KNR_9_;0.0027745820846416013;0.0007500889833247436;0.0247984987799064;0.0008820713937540125;-0.11177861654176131;0.046033378581311304;99.03075196743012;0.35531475771638266
KNR_10_;0.0027539234446784283;0.0007643879109162276;0.025003669736337025;0.000936203072694336;-0.10167175653318253;0.04027793074747702;99.02309317588806;0.31989451931233237
KNR_11_;0.002742549425021753;0.0007745629712446143;0.025290886009408535;0.0009810232455068747;-0.09602877620301549;0.040403489782304944;98.94139380455017;0.3572523270866191
KNR_12_;0.0027264766329168286;0.0007709073255292399;0.025408968708962094;0.0009367821923346927;-0.08957492494773114;0.039062444950684574;98.84784333705902;0.39741140496604405
KNR_13_;0.002700980001924556;0.0007839724511103479;0.025512301122076607;0.0009957252775425148;-0.07741905849365302;0.033952913634929964;98.97418978214264;0.3056265838922443
KNR_14_;0.0026815458336730373;0.0007836918492951885;0.02555251441001511;0.0009249826500667767;-0.06932204113455549;0.03527828067165347;98.96466147899628;0.3006288397289451
KNR_15_;0.002673774888747056;0.0007829955581442591;0.025649842533571922;0.0008984676031942394;-0.06574583693012134;0.03104551562657746;193.05685698986053;95.78470834585151
KNR_16_;0.0026619934991128033;0.0007813556336861052;0.025709087095683047;0.0008489839382561697;-0.06097706885472565;0.02854831753254667;371.9349166870117;17.399138543243026
KNR_17_;0.002660212855038072;0.0007824851535036127;0.025834973708627383;0.0008484902315688734;-0.05992466678235513;0.024929994590184898;381.153217291832;16.085423510619936
KNR_18_;0.0026560663902960024;0.00078462324479443;0.025950297101167686;0.0008834464517445657;-0.05824370760443261;0.02721623175653846;376.89784569740294;20.455661263888455
KNR_19_;0.002652940498745798;0.0007893138101916278;0.026041568704579493;0.0009213759169524728;-0.056547159184714625;0.026414271844282383;248.24854016304016;51.0700877735184
KNR_20_;0.0026430046115447857;0.0007919036571480179;0.026084282515458034;0.0008876680928560068;-0.052007255181993804;0.024568938863867084;226.34250330924988;6.734145418493599
KNR_21_;0.002632882691797375;0.0007961749730756234;0.02610540690507552;0.0008985102509305289;-0.04733373904704541;0.023472419199924446;219.90792417526245;5.043208853755376
KNR_22_;0.0026264258938400614;0.0007949127538283347;0.026177044118096588;0.0009055435641159389;-0.04461981227374463;0.0233931620089148;222.35296900272368;4.112817297310508
KNR_23_;0.0026219394271826874;0.0007944186215431312;0.026211862085601216;0.0008519996096813518;-0.04264073420216834;0.02377659955164708;220.7689483165741;3.907515367753276
KNR_24_;0.0026173842901817727;0.0007978477578233714;0.02626545392415882;0.000915545837894004;-0.04020997808247946;0.022500732111248322;216.1834940433502;10.361250428817192
KNR_25_;0.0026084584754146566;0.0008006819288780108;0.02632013298716891;0.0009163403813285272;-0.03614790075616692;0.021203903446292513;211.49462444782256;6.9693863803713425
KNR_26_;0.002594968451579557;0.000787991427786812;0.0263256288466134;0.0009556373716495425;-0.03142342018086284;0.0204435712654442;210.5288379430771;7.082475961253921
KNR_27_;0.0025927262741030437;0.0007920111960520635;0.026337711899977467;0.0009768533147763443;-0.030040707225552223;0.019260706570092167;216.18318555355071;6.923531224532285
KNR_28_;0.0025924042479915357;0.0007911695179383448;0.02638910646788909;0.0009586226575904811;-0.029956162172077316;0.01784098297794664;212.62229800224304;8.651080971816874
KNR_29_;0.0025889419991041974;0.0007950451251247709;0.02639966773928244;0.0009955540923297743;-0.028158541968220797;0.01649452192192364;215.94592134952546;3.4455329947800304
KNR_30_;0.002581995741070439;0.0007940854913058117;0.026401456542862835;0.0009862950609310522;-0.025097217005836458;0.014440926006029212;219.4578773498535;5.086428319349169
