Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
MLPR_Relu-camadas (1) e neurônios (50)_;0.004323300008833251;0.0013733996946110633;0.04407015964973708;0.005657982314912795;-0.7197023376066003;0.1925855054238311;13.327727675437927;1.2216838076755276
MLPR_Logistic-camadas (1) e neurônios(50)_;0.002927149586101918;0.0007963635301999967;0.031444585130367096;0.0022400408252767016;-0.173298596774616;0.09019315371892325;11.048568558692931;0.8003985846932664
MLPR_TanHip-camadas (1) e neurônios(50)_;0.005777812267453207;0.0010101394745506281;0.05317477788705399;0.0024380653619563617;-1.3778373074317507;0.36712636698443296;14.971493029594422;0.9978773133114919
MLPR_Relu-camadas(3) e neurônios (50)_;0.003602216501393688;0.0009007575001258299;0.03600861264341586;0.0027986736828428936;-0.44900034770827035;0.11444274520464674;18.76581163406372;2.6040377034580815
MLPR_Logistic-camadas (3) e neurônios(50)_;0.002538494069618548;0.0007814487446504195;0.027821152204230898;0.002072616720209481;-0.007190283467969638;0.009749927104513108;15.292107439041137;0.7496437467544851
MLPR_TanHip-camadas (3) e neurônios(50)_;0.005590173918523138;0.0008766492789860927;0.05206379516061275;0.0024783415788037578;-1.310873119186326;0.3864801902402446;18.564372110366822;0.9415589194195879
MLPR_Relu-camadas(6) e neurônios (50)_;0.0033569814998953952;0.0009408152124356427;0.03241750935902578;0.0030143109242310273;-0.3490483951824306;0.15986485303429565;23.422560119628905;2.5935981846747977
MLPR_Logistic-camadas (6) e neurônios(50)_;0.002550055835650735;0.0007894269789288675;0.027674276398542714;0.0019720959264218187;-0.011779414449859683;0.01609879261698885;18.090274596214293;1.1697232627322411
MLPR_TanHip-camadas (6) e neurônios(50)_;0.005384113267502845;0.001123841958165067;0.05041099873794695;0.004825864085120153;-1.2141808366666766;0.42903431723994145;24.17921311855316;2.2641978416398842
MLPR_Relu-camadas (1) e neurônios (100)_;0.003869876169996924;0.0007921200697000295;0.04062314530874235;0.0025573278438241536;-0.5781173998629521;0.19989542879252128;28.97618556022644;1.1258262843655589
MLPR_Logistic-camadas (1) e neurônios(100)_;0.0030657558140691583;0.0008097399583954536;0.03294663615573426;0.002187052232485768;-0.23315285286015133;0.10547466505105763;25.70749604701996;2.0725460097496944
MLPR_TanHip-camadas (1) e neurônios(100)_;0.005857774054201819;0.0009085276457092269;0.054103889974143816;0.0018769435398605986;-1.4146926633340824;0.34000964348667073;25.060429334640503;0.5810569172335597
MLPR_Relu-camadas(3) e neurônios (100)_;0.0033161527829318757;0.0009801742654859313;0.033287601746165754;0.002424794634068641;-0.319781369011758;0.08671648055707114;31.808685874938966;5.308491640922898
MLPR_Logistic-camadas (3) e neurônios(100)_;0.002548120993121174;0.0007801496432125976;0.02793311300724901;0.002895786497906228;-0.01130399524915009;0.011551182978770454;21.114239120483397;0.5833645324545246
MLPR_TanHip-camadas (3) e neurônios(100)_;0.00576031567934175;0.0009045906732681518;0.05308703554634362;0.002525156725235795;-1.3785248208469891;0.3800672635712131;23.551448583602905;1.331812467836371
MLPR_Relu-camadas(6) e neurônios (100)_;0.0031264582835804724;0.0008916141873493349;0.03099212132473899;0.0020049664119414267;-0.2503716615377264;0.08776942212119572;27.38710722923279;1.969485535571774
MLPR_Logistic-camadas (6) e neurônios(100)_;0.0025587431909479355;0.0007614960500937049;0.028867474148020274;0.002924672095692915;-0.017867145901923;0.017820367292140885;22.457675409317016;1.0073064738633657
MLPR_TanHip-camadas (6) e neurônios(100)_;0.005683677582908586;0.0008804267531036913;0.05209869189232534;0.00199075721935789;-1.3389262125029648;0.3032984544393961;31.308511471748353;1.3073140576476439
MLPR_Relu-camadas (1) e neurônios (150)_;0.0038027811049103125;0.0009007634321131469;0.03984638571870401;0.002428742374447383;-0.5379502057239518;0.15492436174194588;24.411956977844238;0.6323394856894557
MLPR_Logistic-camadas (1) e neurônios(150)_;0.0031282958393978586;0.0008877366087524498;0.03371182010266473;0.0024713977666821893;-0.25115495581397973;0.10621809298695137;23.310918498039246;0.8588433283703063
MLPR_TanHip-camadas (1) e neurônios(150)_;0.005977141161785831;0.0009665398261012759;0.0547476392761979;0.0025151199507574646;-1.461879497169837;0.3628504943867245;23.71659471988678;0.778673558710714
MLPR_Relu-camadas(3) e neurônios (150)_;0.003164483162889014;0.00088645060997921;0.03191081132612593;0.001767368348527878;-0.26808105134129045;0.0999009785234224;30.84305214881897;2.2675286597133804
MLPR_Logistic-camadas (3) e neurônios(150)_;0.002541739108394807;0.0007707633750740301;0.027061825372260855;0.0021400143848677735;-0.009942637413397104;0.02045331618976668;26.095263051986695;0.8364203571333158
MLPR_TanHip-camadas (3) e neurônios(150)_;0.0056929593603603414;0.0008768209727836268;0.05249796961591502;0.0022177863788823897;-1.3486178471315589;0.3473162181775289;30.307838559150696;0.5684776220911383
MLPR_Relu-camadas(6) e neurônios (150)_;0.003053546978220624;0.0008336952673919176;0.030193030915238152;0.0018860693594318992;-0.22316599179110935;0.07347458107849941;33.8452526807785;1.8257390848962423
MLPR_Logistic-camadas (6) e neurônios(150)_;0.0025574618731568086;0.0007565780588046643;0.028306639535728623;0.002866981557433232;-0.018313901078757033;0.025555001914712983;31.780351305007933;1.500517058969018
MLPR_TanHip-camadas (6) e neurônios(150)_;0.005539487722902765;0.0008299379243145244;0.05099385686288545;0.0015495525118838123;-1.2826769806349767;0.30225823326988344;44.281749320030215;2.399080861521286
