Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
SVR_kernel linear scale_;0.005741120344443384;0.000805285606377001;0.06006128065661698;0.0016660047441436445;-1.3790627349920221;0.3787558857722631;10.592129397392274;0.5626481699028634
SVR_kernel linear auto_;0.005741120344443384;0.000805285606377001;0.06006128065661698;0.0016660047441436445;-1.3790627349920221;0.3787558857722631;10.452845788002014;0.6027478832773194
SVR_kernel rbf scale_;0.008375139287085918;0.0006443590419964358;0.08498788401724486;0.0008667691267716314;-2.5122570504991257;0.654798650139987;19.72454705238342;0.4641546296841814
SVR_kernel rbf auto_;0.008106902945602465;0.0006498526871175429;0.08392903285116271;0.0008155434894977413;-2.395222630545022;0.6124333369311051;3.028654408454895;0.04750761577352543
SVR_kernel sigmoid auto_;0.008099593438247692;0.0006490413711585758;0.08388528782094101;0.0008103846520288648;-2.3921919983566062;0.6120270793801055;3.0437902450561523;0.18433816013008456
SVR_kernel sigmoid scale_;0.018640743642414147;0.004962109524349719;0.08326090468147279;0.004074661357375708;-7.068327399794993;3.2743932891162286;87.18631920814514;3.1102324679201945
SVR_kernel poly g2 auto_;0.008127562206594;0.0006484898900722524;0.08405233813918842;0.0008082130792640611;-2.404179094551867;0.6150777781332425;2.5087189435958863;0.07274675883544325
SVR_kernel poly g2 scale_;0.008605647148556324;0.0006177378951972927;0.08671480067838626;0.0006856367247881089;-2.6115323529624908;0.677349309824542;18.200968146324158;1.7520531919961835
SVR_kernel poly g3 auto_;0.008127560329899244;0.0006484898934161203;0.08405232694988063;0.0008082132584286644;-2.4041782899066355;0.6150775584216419;1.9292383670806885;0.03181652382905911
SVR_kernel poly g3 scale_;0.008715748847725895;0.0006238477659643863;0.08746073147913484;0.0007017436026358146;-2.658369166180688;0.6897557342356336;21.708709788322448;0.8669351495379449
SVR_kernel poly g4 auto_;0.008123923140077729;0.0006467816257017587;0.08403044812965992;0.0007961180616646631;-2.402950411876087;0.6161899107375066;1.8951461553573608;0.02465855468234644
SVR_kernel poly g4 scale_;0.008721924237888984;0.0006280488422556162;0.08751726195831577;0.0007258917377572221;-2.6605916934246667;0.6888365313023593;22.052886033058165;1.1792608704401844
SVR_kernel poly g5 scale_;0.008720677832673836;0.0006301087693177259;0.0875164377046136;0.0007406298744643925;-2.6598392774348727;0.6878451843310301;22.044150161743165;1.2591821627766817
SVR_kernel poly g5 auto_;0.008121746633152132;0.0006458454022082826;0.08401736090150365;0.0007914007560319674;-2.402215645444566;0.6168651069997302;1.897686529159546;0.025810573877087673
SVR_kernel poly g6 auto_;0.008121746633152132;0.0006458454022082826;0.08401736090150365;0.0007914007560319674;-2.402215645444566;0.6168651069997302;1.8992080688476562;0.02622054848406697
