Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
MLPR_Relu-camadas (1) e neurônios (50)_;0.002867275310254205;0.0008017741178739716;0.0316189796056465;0.0021199464928659782;-0.14794807974549756;0.08872802329304683;0.6743802070617676;0.06482507852980213
MLPR_Logistic-camadas (1) e neurônios(50)_;0.0025644973477710552;0.000750770678994678;0.02776553004047282;0.002125402151528066;-0.02329026253428913;0.04885503708905247;0.7366155862808228;0.09996778871484942
MLPR_TanHip-camadas (1) e neurônios(50)_;0.002759300491708688;0.0007421605179898978;0.030874700210537676;0.0019593533374303133;-0.1094335069075619;0.10237782694681083;0.863668704032898;0.08028101085331352
MLPR_Relu-camadas(3) e neurônios (50)_;0.002639795154619095;0.0007999788439702547;0.028294932467145862;0.0013383663639612597;-0.049595906061315156;0.048224503415288916;1.467431330680847;0.2802929190982163
MLPR_Logistic-camadas (3) e neurônios(50)_;0.0025224845339893195;0.0007708428428985785;0.02740182784216725;0.002041057411219627;-0.0016532020196261099;0.006206991887747553;3.919204521179199;1.5409269636787124
MLPR_TanHip-camadas (3) e neurônios(50)_;0.00263933199216307;0.0007984171163267578;0.03001850462217657;0.002412671533697385;-0.04989479644260149;0.05323557338961928;3.5180538415908815;0.6556895279906508
MLPR_Relu-camadas(6) e neurônios (50)_;0.0026742652149130733;0.0009820786753040693;0.028569556816454622;0.0036543367827214213;-0.05229285814881426;0.07876464947863519;3.820840907096863;0.9021997039477041
MLPR_Logistic-camadas (6) e neurônios(50)_;0.0025691741177478592;0.0007698637482543802;0.026537857374203618;0.0021931229708285946;-0.023335769912696147;0.04605360866622167;5.348357915878296;0.8192342749948291
MLPR_TanHip-camadas (6) e neurônios(50)_;0.00256556230388526;0.000771297467229558;0.02689736677642931;0.002078792416376945;-0.020198542624713357;0.03716967370671533;6.181499099731445;0.897023766956486
MLPR_Relu-camadas (1) e neurônios (100)_;0.002850038668871462;0.0007697569699612276;0.031247329973388742;0.002170103304978173;-0.14518605173684712;0.11151742276084431;2.9737963914871215;0.5160133332215658
MLPR_Logistic-camadas (1) e neurônios(100)_;0.0025430753811852324;0.0007402936379303739;0.02829732644773113;0.0016250444914474177;-0.014051723785897585;0.035402618380459015;2.798127365112305;0.4577052618566507
MLPR_TanHip-camadas (1) e neurônios(100)_;0.0028850768463322225;0.0008876088387828573;0.031415742417405315;0.0027511110991668697;-0.14800691603693544;0.07291893536107347;2.8562339544296265;0.5692194273536657
MLPR_Relu-camadas(3) e neurônios (100)_;0.0029816599523865717;0.0006685910221599735;0.03153553285229158;0.0015607185083466651;-0.20985337724449318;0.13174077920803234;7.670834636688232;3.0076644410742146
MLPR_Logistic-camadas (3) e neurônios(100)_;0.0025616188659018484;0.0007867530854528774;0.0268616523645595;0.002264173595490034;-0.01674287167917531;0.025861699960645537;6.242076992988586;0.2774386321710727
MLPR_TanHip-camadas (3) e neurônios(100)_;0.0026342614898798304;0.0007239977900993299;0.02797861762374128;0.0017843092099379205;-0.05532900814475829;0.06316414219603599;7.3160971879959105;0.2185587980676538
MLPR_Relu-camadas(6) e neurônios (100)_;0.002942193052435108;0.0007085894957399453;0.02716717422882468;0.0016984704634051967;-0.18697366163081974;0.10605498470139221;16.333750104904176;3.0563434915668792
MLPR_Logistic-camadas (6) e neurônios(100)_;0.0025515340297885356;0.0007685595012129394;0.026697124361185643;0.002846081672355229;-0.013772517397732997;0.013990490390660646;12.80662796497345;0.7143238201479888
MLPR_TanHip-camadas (6) e neurônios(100)_;0.002536797268454738;0.0007594586570040405;0.027168330389305263;0.0015836834280196067;-0.009526039832274902;0.03952628435805912;15.338206505775451;0.5704544491618586
MLPR_Relu-camadas (1) e neurônios (150)_;0.0029704414911434504;0.0007984640895170412;0.03247764324412446;0.002448858936731762;-0.19424730878569899;0.10254708255035838;5.412737393379212;0.3480591046472787
MLPR_Logistic-camadas (1) e neurônios(150)_;0.002555803972129546;0.0007525604284190685;0.028059568896103317;0.0023787124099213567;-0.01805945859862229;0.037861169828993624;5.630576753616333;0.3904270672827424
MLPR_TanHip-camadas (1) e neurônios(150)_;0.0028055534777124635;0.0007184788852051096;0.031099038023630843;0.0020222848552349623;-0.12996815516946242;0.07942233200899246;6.282968997955322;0.36249208341183475
MLPR_Relu-camadas(3) e neurônios (150)_;0.0029917273715588345;0.0008553022806708346;0.03126055335585195;0.003101386077823925;-0.20240838710475417;0.1721983027646944;13.594761228561401;3.6004226092801805
MLPR_Logistic-camadas (3) e neurônios(150)_;0.002532737468615546;0.0007740615664626594;0.027388238803229013;0.002034792421019259;-0.005615860838375087;0.009770028297897625;10.743818497657776;0.2809936077796487
MLPR_TanHip-camadas (3) e neurônios(150)_;0.0026824070620045546;0.0007763134479379304;0.028399803769176585;0.0025685679169331226;-0.07142472949325042;0.061003654381272594;12.330724143981934;0.41416573611194146
MLPR_Relu-camadas(6) e neurônios (150)_;0.003083743042353806;0.0007814748497936024;0.02870572908766799;0.0021369702047784054;-0.2463459006808261;0.13439931651787693;27.39224350452423;1.6330532706060945
MLPR_Logistic-camadas (6) e neurônios(150)_;0.0025507829928460963;0.000777879782610395;0.027700360140825914;0.0024117391342639155;-0.012230360767193905;0.013871388582568717;18.13320736885071;0.39198337435059494
MLPR_TanHip-camadas (6) e neurônios(150)_;0.0025317873637883534;0.0007437263243463159;0.026965080886652355;0.001315793148773377;-0.00896151640259909;0.04170947379415884;20.319192385673524;0.14757680129499084
