Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
SVR_kernel linear scale_;0.0058029683681431205;0.0007063856428444438;0.06653079681889969;0.0018414843474493028;-1.4065695647384593;0.3582273627031296;2.311206841468811;0.2738152778696195
SVR_kernel linear auto_;0.0058029683681431205;0.0007063856428444438;0.06653079681889969;0.0018414843474493028;-1.4065695647384593;0.3582273627031296;2.394649338722229;0.25557125595011865
SVR_kernel rbf scale_;0.0067915988387371425;0.0006706789426763191;0.07332241602341923;0.0017260422611358945;-1.8344019415047002;0.4850559934448722;3.6540640115737917;0.3457974624131357
SVR_kernel rbf auto_;0.008065548884803573;0.0006501582269609343;0.08368851126636347;0.0008140958583763779;-2.377630570786445;0.6086317386681876;1.0573279142379761;0.01627079216669461
SVR_kernel sigmoid auto_;0.008075603178760897;0.0006474729874313254;0.08374541106928843;0.0008068265830841425;-2.3820297325246704;0.6094984707637456;0.9115491390228272;0.0233293594848381
SVR_kernel sigmoid scale_;12.83486009754841;0.598410648357423;2.7751372283254243;0.070738678528585;-5484.019508011006;1330.7200724242482;21.825813388824464;1.255212901494843
SVR_kernel poly g2 auto_;0.008127624568969868;0.0006485021445253199;0.08405270009233132;0.0008083400331421457;-2.4042044744268583;0.6150796007544785;0.7031058549880982;0.03093268028322616
SVR_kernel poly g2 scale_;0.00629505916408078;0.0006418081970035642;0.06829077774243515;0.0016932848933835507;-1.626670306827227;0.45065526322548033;2.7408644437789915;0.3095868612893343
SVR_kernel poly g3 auto_;0.008127560273163359;0.0006484898994158158;0.08405232662922839;0.0008082133148351253;-2.4041782645859504;0.6150775471318689;0.588096809387207;0.06343869679727554
SVR_kernel poly g3 scale_;0.007510794052335323;0.0006349553283541244;0.07878579792086193;0.0012857081868844218;-2.1460716792828007;0.5768148096920331;3.158917713165283;0.2608950695111877
SVR_kernel poly g4 auto_;0.008127560329225368;0.0006484898933684359;0.08405232694589498;0.0008082132580481669;-2.4041782896223682;0.6150775583550474;0.6388677358627319;0.07556583815039898
SVR_kernel poly g4 scale_;0.008215245737365692;0.0006160914313541611;0.08388175248917161;0.0009746691834097912;-2.446874642478766;0.6457370217817148;4.004609537124634;0.17540671013126022
SVR_kernel poly g5 scale_;0.008599022130484493;0.0006029882547125319;0.08639933272058266;0.0008343296413230464;-2.611533837863313;0.6862888722108341;4.578557682037354;0.4515710383318843
SVR_kernel poly g5 auto_;0.008127560329611155;0.0006484898933884888;0.08405232694815526;0.0008082132582804897;-2.404178289785728;0.6150775583947333;0.5935924530029297;0.033194931539292004
SVR_kernel poly g6 auto_;0.00812756032961182;0.0006484898933884969;0.08405232694815916;0.0008082132582806531;-2.4041782897860102;0.6150775583948016;0.516013503074646;0.03485626251413637
