Parametros;MAE;MSE;R2
KNR_1;0.0181;0.0033;-0.9916
KNR_2;0.0171;0.0026;-0.4098
KNR_3;0.0167;0.0024;-0.3692
KNR_4;0.0168;0.0024;-0.3318
KNR_5;0.0168;0.0023;-0.2846
KNR_6;0.0166;0.0022;-0.2189
KNR_7;0.0166;0.0022;-0.2044
KNR_8;0.0168;0.0022;-0.1860
KNR_9;0.0167;0.0022;-0.1693
KNR_10;0.0167;0.0022;-0.1533
KNR_11;0.0167;0.0021;-0.1367
KNR_12;0.0166;0.0021;-0.1280
KNR_13;0.0166;0.0021;-0.1255
KNR_14;0.0168;0.0021;-0.1254
KNR_15;0.0168;0.0021;-0.1101
KNR_16;0.0168;0.0021;-0.1094
KNR_17;0.0168;0.0021;-0.0981
KNR_18;0.0167;0.0021;-0.0917
KNR_19;0.0168;0.0021;-0.0885
KNR_20;0.0168;0.0021;-0.0871
KNR_21;0.0168;0.0021;-0.0847
KNR_22;0.0168;0.0021;-0.0785
KNR_23;0.0168;0.0021;-0.0788
KNR_24;0.0168;0.0021;-0.0778
KNR_25;0.0169;0.0021;-0.0791
KNR_26;0.0169;0.0021;-0.0761
KNR_27;0.0168;0.0020;-0.0667
KNR_28;0.0168;0.0020;-0.0621
KNR_29;0.0168;0.0020;-0.0565
KNR_30;0.0168;0.0020;-0.0568
