Parametros;MAE;MSE;R2
KNR_1;0.0220;0.0045;-1.7472
KNR_2;0.0199;0.0030;-0.8356
KNR_3;0.0195;0.0027;-0.6404
KNR_4;0.0188;0.0025;-0.4226
KNR_5;0.0189;0.0024;-0.3570
KNR_6;0.0187;0.0023;-0.2882
KNR_7;0.0187;0.0023;-0.2612
KNR_8;0.0186;0.0022;-0.2135
KNR_9;0.0186;0.0022;-0.2022
KNR_10;0.0186;0.0022;-0.1961
KNR_11;0.0185;0.0022;-0.1740
KNR_12;0.0185;0.0022;-0.1632
KNR_13;0.0184;0.0022;-0.1513
KNR_14;0.0184;0.0021;-0.1448
KNR_15;0.0184;0.0021;-0.1346
KNR_16;0.0184;0.0021;-0.1248
KNR_17;0.0183;0.0021;-0.1174
KNR_18;0.0183;0.0021;-0.1103
KNR_19;0.0182;0.0021;-0.1039
KNR_20;0.0181;0.0021;-0.0941
KNR_21;0.0181;0.0021;-0.0934
KNR_22;0.0182;0.0021;-0.0962
KNR_23;0.0182;0.0021;-0.0927
KNR_24;0.0182;0.0021;-0.0935
KNR_25;0.0182;0.0021;-0.0933
KNR_26;0.0182;0.0021;-0.0917
KNR_27;0.0182;0.0021;-0.0872
KNR_28;0.0182;0.0021;-0.0874
KNR_29;0.0182;0.0021;-0.0851
KNR_30;0.0182;0.0021;-0.0825
